"GeoName","FIPS","Y2002","Y2003","Y2004","Y2005","Y2006","Y2007","Y2008","Y2009","Y2010","Y2011","Y2013","Y2014","Y2015","Y2016","Y2017"
"Charlottesville, VA","16820","0.0277","0.0291","0.0581","0.0537","0.032","0.0119","0.0156","-0.0171","0.0512","0.0169","-0.0051","0.0373","0.0375","0.0051","0.0234"
"Chattanooga, TN-GA","16860","0.013","-8e-04","0.0188","0.0205","0.0433","0.0134","-0.0184","-0.0583","0.0257","0.0205","-0.0074","-0.0034","0.0287","0.0204","0.0303"
"Cheyenne, WY","16940","0.0379","0.0413","0.0371","0.0157","0.0685","0.0411","0.0392","-0.0452","0.0488","-0.0119","0.0225","-0.0257","0.0264","-8e-04","-0.0078"
"Chicago-Naperville-Elgin, IL-IN-WI","16980","0.0028","0.0128","0.026","0.01","0.0221","0.0147","-0.0195","-0.0412","0.0211","0.0198","-0.0031","0.0169","0.0249","0.0141","0.0149"
"Chico, CA","17020","0.0687","0.0275","0.0266","0.0266","0.0146","0.0059","-0.0247","-0.0095","-6e-04","-0.0239","0.0598","-0.0177","0.0545","0.0299","0.0169"
"Cincinnati, OH-KY-IN","17140","0.02","0.0122","0.0125","0.0126","-0.0105","0.0131","-0.0126","-0.0406","0.0218","0.0191","0.0259","0.005","0.0098","0.0219","0.0241"
"Clarksville, TN-KY","17300","0.0115","0.0667","0.0301","0.0949","0.0419","-0.0035","0.0513","0.0047","0.0425","0.0686","-0.0255","-0.0147","-0.001","-0.0189","0.0178"
"Cleveland-Elyria, OH","17460","0.0075","0.0186","0.0225","-0.003","-0.0147","0.0039","-0.0159","-0.065","0.0195","0.0302","0.0138","0.0258","0.0289","0.0085","0.0285"
"Cleveland, TN","17420","0.0219","0.0167","0.0378","0.0035","0.0079","-0.0235","-0.0378","-0.04","0.0156","0.0485","-0.0019","0.0326","0.0168","-0.0231","0.01"
"Coeur d'Alene, ID","17660","0.0529","0.0655","0.0627","0.0827","0.0581","0.051","-0.0087","-0.0432","-0.0084","3e-04","0.0262","0.0136","0.0525","0.0264","0.0293"
"College Station-Bryan, TX","17780","-0.0291","0.0386","0.0179","0.0355","0.04","0.0298","0.0316","0.0251","0.0438","0.0107","0.0359","0.047","0.0442","-0.0077","0.026"
"Colorado Springs, CO","17820","0.004","0.0274","0.0255","0.0415","0.0087","0.0204","-0.0131","0.0069","0.0474","0.0293","-0.0013","-0.0188","0.0244","0.019","0.0334"
"Columbia, MO","17860","-0.025","0.0494","0.0177","0.0308","0.0289","0.003","-0.0131","-0.0047","0.0325","0.0278","0.0488","0.0048","0.0121","0.019","0.0152"
"Columbia, SC","17900","0.0072","0.0327","0.0329","0.0136","0.032","0.0222","-0.0033","-0.0205","0.0044","0.0124","0.0229","0.0362","0.0414","0.0132","-0.0042"
"Columbus, GA-AL","17980","-0.0363","0.0099","0.0163","0.0251","0.0241","0.0186","0.0102","-6e-04","0.0097","0.0352","0.0051","-0.0153","-0.0091","-0.0485","0.006"
