"FIPS","Metro-Name","Population","PCT female","PCT 0-4","PCT 5-9","PCT 10-14","PCT 15-17","PCT 18-24","PCT 25-34","PCT 35-44","PCT 45-54","PCT 55-64","PCT 65-74","PCT 75-84","PCT 85 plus","PCT married","PCT less than HS","PCT BS plus","PCT MS plus","PCT unemployed","Median HH Income","Gini Index","PCT Occupied Housing","Median Gross Rent","Commute under 10","Commute 10-19","Commute 20-29","Commute 30-39","Commute 40-59","Commute 60-89","Commute 90 plus","PCT Health Insured","PCT Public HI","PCT Private HI"
22260,"Fergus Falls, Minnesota",57790,49.73,5.71,6.09,6.07,3.8,7.24,9.52,9.8,13.16,16.16,12.07,6.98,3.41,61.09,8.69,24.71,7.42,3.6,55181,0.4308,67.56,656,27.67,29.39,14.73,9.76,6.83,3.75,2.33,94.54,39.71,74.18
24220,"Grand Forks, Minnesota",31564,49.35,6.66,6.64,6.6,3.89,9.26,12.14,10.4,13.3,13.67,9.03,5.7,2.69,53.62,8.72,24.52,7.38,3.6,55393,0.4295,85.01,689,31.22,32.06,11.43,8.92,6.28,2.64,2.02,94.32,34.97,74.52
24330,"Grand Rapids, Minnesota",45237,49.29,5.23,6.36,5.73,3.87,6.95,9.95,10.8,12.98,16.71,12.26,6.23,2.91,58.69,6.57,22.66,7.2,5.66,52050,0.4186,70.45,655,18.12,35.48,17.83,10.11,8.06,2.96,3.03,93,42.88,69.44
26780,"Hutchinson, Minnesota",35816,50.16,5.77,6.87,6.89,3.99,7.46,12.25,12.17,13.71,13.15,9.44,5.68,2.61,55.89,7.87,18.03,5.24,3,59869,0.4,93.35,777,28.63,26.22,15.69,7.93,9.4,6.53,2.26,95.23,34.44,77.6
29100,"La Crosse-Onalaska, Minnesota",18709,49.91,5.18,6.21,6.46,3.68,7.21,10.05,10.73,14.01,16.5,10.68,6.42,2.85,60.09,5.75,23.17,6.7,3.15,56837,0.401,93.34,677,22.74,26.21,16.54,14.45,10.13,2.66,1.41,95.65,35.42,77.37
31860,"Mankato-North Mankato, Minnesota",99244,49.82,5.65,5.84,5.79,3.28,19.11,13.49,11.06,10.65,11.65,7.37,3.98,2.14,46.2,5.89,32.23,10.88,4.25,56458,0.4407,93.14,821,23.48,42.79,13.2,6.47,3.41,2.38,1.6,95.93,29.08,79.69
32140,"Marshall, Minnesota",25789,49.97,7.2,6.77,7.2,3.67,10.94,13.06,11.86,11.94,12.62,7.48,4.54,2.72,53.12,7.58,26.48,6.97,3.6,54181,0.4693,89.67,621,41.91,27.59,13.71,5.98,2.09,1.28,1.69,94.41,32,75.44
33460,"Minneapolis-St. Paul-Bloomington, Minnesota",3397781,50.5,6.6,6.75,6.68,3.96,8.64,14.82,13.14,14.01,12.68,7.43,3.58,1.71,51.27,6.73,40.77,14.1,4.38,73719,0.4479,95.06,1007,9.77,26.35,23.79,17.78,11.78,3.94,1.27,94.7,28.29,77.82
35580,"New Ulm, Minnesota",25243,50.28,5.78,5.8,6.26,4.07,9.62,11.1,9.91,12.77,14.59,9.61,7.11,3.38,56.88,8.34,19.82,5.23,2.31,55764,0.4187,91.59,592,37.95,30.36,12.23,5.78,4.33,1.21,1.13,95.53,32.61,80.84
36940,"Owatonna, Minnesota",36612,50.22,6.59,7.79,6.71,4.17,7.89,12.06,11.36,13.92,13.29,8.26,5.24,2.73,56.58,7.55,24.6,7.13,4.47,58882,0.4172,93.21,758,32.4,33.37,11.39,7.01,6.46,3.99,1.3,96.14,35.67,74.53
